id_producto,nombre_producto,unidades_vendidas,importe_total,precio_unitario
91,Desodorante Aerosol,20,93800,4690
18,Queso Rallado 150g,26,89544,3444
76,Pizza Congelada Muzzarella,20,85720,4286
72,Ron 700ml,21,81396,3876
9,Yerba Mate Suave 1kg,20,77560,3878
8,Energética Nitro 500ml,17,71706,4218
59,Chicle Menta,19,68628,3612
58,Caramelos Masticables,14,66528,4752
68,Vino Blanco 750ml,22,59048,2684
79,Hamburguesas Congeladas x4,24,58080,2420
81,Aceitunas Verdes 200g,22,55440,2520
100,Trapo de Piso,11,53394,4854
86,Jugo en Polvo Limón,12,49080,4090
35,Barrita de Cereal 30g,11,48730,4430
6,Jugo de Naranja 1L,11,45870,4170
7,Jugo de Manzana 1L,14,45766,3269
2,Pepsi 1.5L,9,44757,4973
17,Queso Cremoso 500g,9,43506,4834
5,Agua Mineral 500ml,9,42993,4777
78,Verduras Congeladas Mix,10,42890,4289
98,Desengrasante 500ml,15,42645,2843
36,Dulce de Leche 400g,16,40944,2559
32,Chocolate Amargo 100g,18,40212,2234
10,Yerba Mate Intensa 1kg,8,39064,4883
70,Fernet 750ml,9,36549,4061
57,Servilletas x100,8,36160,4520
82,Aceitunas Negras 200g,15,35910,2394
53,Lavandina 1L,21,34944,1664
90,Toallas Húmedas x50,12,34824,2902
13,Té Verde 20 saquitos,14,33362,2383
38,Mermelada de Frutilla 400g,21,33264,1584
44,Arroz Largo Fino 1kg,11,32769,2979
4,Fanta Naranja 1.5L,16,32528,2033
47,Garbanzos 500g,11,32329,2939
65,Cerveza Rubia 1L,13,31499,2423
22,Medialunas de Manteca,15,31035,2069
23,Bizcochos Salados,13,30940,2380
92,Crema Dental 90g,12,30144,2512
37,Mermelada de Durazno 400g,9,28764,3196
83,Queso Untable 190g,15,27450,1830
31,Mix de Frutos Secos 200g,8,27272,3409
63,Granola 250g,6,26022,4337
43,Salsa de Tomate 500g,27,23949,887
74,Whisky 750ml,8,23624,2953
62,Stevia 100 sobres,6,23088,3848
95,Mascarilla Capilar,14,22134,1581
1,Coca Cola 1.5L,9,21123,2347
88,Caldo Concentrado Carne,8,20560,2570
11,Café Molido 250g,10,20530,2053
3,Sprite 1.5L,4,19856,4964
93,Cepillo de Dientes,9,19278,2142
77,Empanadas Congeladas,4,19112,4778
67,Vino Tinto Malbec 750ml,4,18876,4719
27,Alfajor Simple,7,17514,2502
66,Cerveza Negra 1L,11,16863,1533
41,Aceite de Girasol 1L,19,16340,860
54,Jabón de Tocador,10,15920,1592
80,Helado de Frutilla 1L,8,15848,1981
64,Avena Instantánea 250g,4,15812,3953
46,Lentejas Secas 500g,5,15180,3036
49,Harina de Trigo 1kg,6,15072,2512
61,Miel Pura 250g,3,14946,4982
30,Maní Salado 200g,3,14625,4875
24,Galletitas Chocolate,11,14355,1305
20,Pan Lactal Blanco,9,14139,1571
16,Yogur Natural 200g,3,13839,4613
87,Sopa Instantánea Pollo,8,13432,1679
48,Porotos Negros 500g,3,13386,4462
84,Queso Azul 150g,8,13160,1645
97,Limpiavidrios 500ml,15,13080,872
29,Papas Fritas Onduladas 100g,7,13076,1868
19,Manteca 200g,4,13004,3251
15,Leche Descremada 1L,5,12690,2538
55,Shampoo 400ml,9,12663,1407
56,Papel Higiénico x4,5,12660,2532
73,Gin 700ml,8,12488,1561
40,Helado Chocolate 1L,10,12150,1215
28,Papas Fritas Clásicas 100g,12,11232,936
94,Hilo Dental,7,9926,1418
85,Jugo en Polvo Naranja,5,9280,1856
51,Sal Fina 500g,5,8725,1745
14,Leche Entera 1L,5,8615,1723
39,Helado Vainilla 1L,18,8442,469
25,Galletitas Vainilla,2,8030,4015
50,Azúcar 1kg,11,7997,727
34,Turrón 50g,15,7545,503
45,Fideos Spaghetti 500g,9,6705,745
52,Detergente Líquido 750ml,2,5164,2582
42,Vinagre de Alcohol 500ml,4,4780,1195
89,Caldo Concentrado Verdura,4,4012,1003
12,Té Negro 20 saquitos,7,3990,570
21,Pan Lactal Integral,11,2992,272
33,Chocolate con Leche 100g,2,2510,1255
71,Vodka 700ml,4,2032,508
26,Alfajor Triple,2,2002,1001
