id_producto,nombre_producto,unidades_vendidas
43,Salsa de Tomate 500g,27
18,Queso Rallado 150g,26
79,Hamburguesas Congeladas x4,24
81,Aceitunas Verdes 200g,22
68,Vino Blanco 750ml,22
38,Mermelada de Frutilla 400g,21
72,Ron 700ml,21
53,Lavandina 1L,21
76,Pizza Congelada Muzzarella,20
9,Yerba Mate Suave 1kg,20
91,Desodorante Aerosol,20
41,Aceite de Girasol 1L,19
59,Chicle Menta,19
32,Chocolate Amargo 100g,18
39,Helado Vainilla 1L,18
8,Energética Nitro 500ml,17
4,Fanta Naranja 1.5L,16
36,Dulce de Leche 400g,16
34,Turrón 50g,15
83,Queso Untable 190g,15
22,Medialunas de Manteca,15
98,Desengrasante 500ml,15
82,Aceitunas Negras 200g,15
97,Limpiavidrios 500ml,15
58,Caramelos Masticables,14
7,Jugo de Manzana 1L,14
95,Mascarilla Capilar,14
13,Té Verde 20 saquitos,14
23,Bizcochos Salados,13
65,Cerveza Rubia 1L,13
28,Papas Fritas Clásicas 100g,12
86,Jugo en Polvo Limón,12
92,Crema Dental 90g,12
90,Toallas Húmedas x50,12
66,Cerveza Negra 1L,11
24,Galletitas Chocolate,11
21,Pan Lactal Integral,11
47,Garbanzos 500g,11
6,Jugo de Naranja 1L,11
50,Azúcar 1kg,11
44,Arroz Largo Fino 1kg,11
100,Trapo de Piso,11
35,Barrita de Cereal 30g,11
54,Jabón de Tocador,10
78,Verduras Congeladas Mix,10
11,Café Molido 250g,10
40,Helado Chocolate 1L,10
5,Agua Mineral 500ml,9
2,Pepsi 1.5L,9
70,Fernet 750ml,9
93,Cepillo de Dientes,9
55,Shampoo 400ml,9
45,Fideos Spaghetti 500g,9
37,Mermelada de Durazno 400g,9
17,Queso Cremoso 500g,9
1,Coca Cola 1.5L,9
20,Pan Lactal Blanco,9
87,Sopa Instantánea Pollo,8
10,Yerba Mate Intensa 1kg,8
31,Mix de Frutos Secos 200g,8
88,Caldo Concentrado Carne,8
84,Queso Azul 150g,8
74,Whisky 750ml,8
57,Servilletas x100,8
73,Gin 700ml,8
80,Helado de Frutilla 1L,8
27,Alfajor Simple,7
12,Té Negro 20 saquitos,7
29,Papas Fritas Onduladas 100g,7
94,Hilo Dental,7
63,Granola 250g,6
62,Stevia 100 sobres,6
49,Harina de Trigo 1kg,6
46,Lentejas Secas 500g,5
85,Jugo en Polvo Naranja,5
56,Papel Higiénico x4,5
51,Sal Fina 500g,5
15,Leche Descremada 1L,5
14,Leche Entera 1L,5
77,Empanadas Congeladas,4
71,Vodka 700ml,4
67,Vino Tinto Malbec 750ml,4
89,Caldo Concentrado Verdura,4
19,Manteca 200g,4
3,Sprite 1.5L,4
42,Vinagre de Alcohol 500ml,4
64,Avena Instantánea 250g,4
48,Porotos Negros 500g,3
61,Miel Pura 250g,3
30,Maní Salado 200g,3
16,Yogur Natural 200g,3
25,Galletitas Vainilla,2
26,Alfajor Triple,2
52,Detergente Líquido 750ml,2
33,Chocolate con Leche 100g,2
